2.3823,2.7733,3.2659,3.6392,3.4041,2.5882,1.9055,1.5417,1.3996,1.3804,1.4223,1.4962,1.5453,1.4521,1.0593,0.5105,0.16255,0.048417,0.04102,0.06368,0.089536
2.4044,2.799,3.2885,3.6392,3.3189,2.4491,1.7579,1.406,1.2706,1.2503,1.2882,1.3521,1.39,1.2882,0.91622,0.43152,0.15276,0.079068,0.091411,0.12531,0.16069
2.4266,2.8249,3.3113,3.6224,3.2285,2.3121,1.6144,1.2706,1.1429,1.1246,1.1588,1.2134,1.2359,1.1324,0.79068,0.37844,0.16749,0.13062,0.16032,0.20417,0.25003
2.4491,2.851,3.3266,3.6058,3.1405,2.1727,1.4757,1.1429,1.0209,1,1.0304,1.074,1.0889,0.98401,0.68234,0.34995,0.20417,0.19999,0.24434,0.29785,0.35481
2.466,2.8708,3.342,3.581,3.0479,2.0417,1.3397,1.0186,0.90157,0.88308,0.90573,0.93972,0.94406,0.84723,0.59293,0.34356,0.26002,0.28445,0.34198,0.40458,0.47206
2.4831,2.8907,3.3574,3.5563,2.9512,1.9099,1.2106,0.8995,0.78886,0.76913,0.78524,0.8091,0.80724,0.71945,0.5224,0.35892,0.33189,0.38194,0.44978,0.52119,0.60117
2.4946,2.904,3.3574,3.5237,2.8576,1.7824,1.0889,0.78705,0.68077,0.66069,0.67143,0.68707,0.67764,0.60395,0.46989,0.39084,0.41687,0.48753,0.56494,0.64417,0.73621
2.5061,2.9174,3.3651,3.4914,2.7606,1.6596,0.97275,0.68077,0.58076,0.55976,0.56494,0.57148,0.55719,0.50234,0.43551,0.43954,0.51168,0.59841,0.68391,0.7709,0.87498
2.5177,2.9242,3.3574,3.4514,2.6669,1.5417,0.86298,0.5821,0.48529,0.46345,0.46452,0.46452,0.44771,0.41495,0.41591,0.50003,0.61235,0.71285,0.80353,0.8995,1.0139
2.5235,2.9309,3.3574,3.4119,2.5763,1.4322,0.76208,0.48978,0.39902,0.37584,0.37325,0.36644,0.34914,0.34119,0.4121,0.56885,0.71779,0.82794,0.92257,1.0233,1.1482
2.5293,2.9309,3.3497,3.3729,2.4831,1.3274,0.66681,0.40551,0.31989,0.29717,0.2904,0.27925,0.26303,0.28249,0.4217,0.64565,0.82224,0.93972,1.0375,1.1429,1.2764
2.5351,2.9309,3.3343,3.3266,2.3988,1.2303,0.58076,0.32961,0.24831,0.22646,0.21727,0.2023,0.18967,0.23714,0.44259,0.72611,0.9247,1.0471,1.1455,1.256,1.3964
2.5351,2.9242,3.3189,3.281,2.3121,1.1402,0.5035,0.26182,0.18535,0.16444,0.15346,0.13772,0.13002,0.20654,0.47315,0.80724,1.0209,1.1455,1.2445,1.3552,1.5031
2.5351,2.9174,3.2961,3.2285,2.2336,1.0568,0.43451,0.20277,0.13183,0.1122,0.10093,0.084918,0.084333,0.18923,0.51168,0.88716,1.1117,1.2331,1.3305,1.4421,1.5922
2.5293,2.9107,3.2734,3.1769,2.1577,0.98401,0.37411,0.15276,0.087096,0.069663,0.059156,0.044668,0.05236,0.18493,0.55463,0.96161,1.1912,1.3092,1.4028,1.5136,1.6634
2.5235,2.8973,3.2434,3.1261,2.0845,0.91833,0.32359,0.1122,0.051761,0.037239,0.028445,0.017418,0.034834,0.1932,0.60256,1.0304,1.2589,1.3709,1.4588,1.5668,1.7179
2.5119,2.8774,3.2137,3.0761,2.023,0.86497,0.28184,0.080168,0.025823,0.014928,0.0093111,0.00302,0.031261,0.2133,0.65313,1.0914,1.3122,1.4158,1.4997,1.6032,1.7458
2.5003,2.8576,3.1842,3.0269,1.9634,0.8147,0.24889,0.057677,0.0094624,0.0029107,0.0014997,0.0014488,0.041305,0.24378,0.70307,1.1429,1.3552,1.4454,1.5205,1.6181,1.7579
2.4889,2.8379,3.1477,2.9717,1.9055,0.77625,0.22594,0.044668,0.0027925,0.0011749,0.0050699,0.012589,0.064714,0.28379,0.75336,1.183,1.3804,1.4588,1.5241,1.6144,1.7418
2.4717,2.8119,3.1046,2.9174,1.8578,0.74645,0.21232,0.040832,0.0056105,0.0096161,0.019861,0.036141,0.10046,0.33266,0.79983,1.2106,1.39,1.4555,1.5101,1.5922,1.71
